Nombre,Puntuacion_IMDB,Puntuacion_Rotten_Tomatoes,Director,Guionistas,Argumento,Duracion
Miesten juoma,N/A,N/A,Nana TimonenSara Valavaara,Henni KoskiKrista KuitunenSamuli Lukkarinen,Aatos struggling with acceptance and courage of being who he is on his 50th birthday party.,N/A
De glace,N/A,N/A,Nikodem Rautszko,Nikodem Rautszko,,N/A
The Bear,N/A,N/A,Amy Force,Amy Force,1. The dream 2. The telling,N/A
The Second Home,N/A,N/A,Suveer Bhambhani,Kabir Thapar,,N/A
Where's Daddy?,N/A,100%,Arlette Thomas-Fletcher,Arlette Thomas-Fletcher,Maurice a very smart energetic young boy is angry and lashing out all because he misses his father being in his life.,N/A
Elevators,N/A,N/A,Hessam Daraei,Hessam Daraei,A man tries to use the elevators in a building but none of them works.,N/A
Krig,N/A,N/A,Rasmus Fabricius,Rasmus Fabricius,"In war-torn Denmark, a brother and sister fight for survival as they embark on a perilous journey through the violent and dangerous landscape, where they must stay vigilant to avoid the hostile and vicious Danes.",N/A
The Foreigner,N/A,N/A,Taruna Khanagwal,Alexandra GoldNalneesh NeelKumar Saurabh,"A single, foreign woman begins living in a new building and decides to hire a plumber. The plumber is enraptured by her beauty and introduces her to his friends. What happens next forms the rest of the film.",N/A
Le spectre du fer,N/A,N/A,Maxime Simone,Maxime Simone,,N/A
Disznóvágás,N/A,N/A,Noémi Veronika Szakonyi,Ádám FarkasMáté FazekasAndrás Dezsõ Horváth,"Anna and Attila are a young, happy couple engaged to be married. Upon Anna's insistence, Attila finally takes her to meet his family. There's a long-standing feud between Attila and his brother Zsolt, which can perhaps be resolved, yet it won't be easy. The parents slaughter a pig on the occasion of their son's return. Things appear to be going well, until Anna's phon... Leer todo",N/A
Perspective,N/A,N/A,Brandon Lees,Brandon Lees,,N/A
The Bread Winner,N/A,N/A,Agazi Desta,Agazi Desta,"A young boy, Josie, will do whatever it takes to bring bread back to his family.",N/A
Tiparu,N/A,N/A,Suraj Dalvi,Suraj Dalvi,,N/A
Ride Away,N/A,N/A,Alicia MacGibbon,Heileen AriasSam Wexler,,N/A
Bandada,N/A,N/A,Alberto GiovencoLaura Gracia,Alberto Giovenco,"Why a man should close himself voluntarily for more than eight years in a farmhouse near by the city? The documentary ""The invisible Ivan"" attempts to answer this question thanks to Marc's queries, the interviewer, and the replies of Leonardo and Miriam, the respondents. Something, however, goes wrong and the normal continuation of the scene is irreparably compromised... Leer todo",N/A
Krov,N/A,N/A,Pavel Roytberg,Pavel Roytberg,"In 2017-2018, supernatural beings will emerge from hiding, end their ""masquerade"" and stop living in shadows. Future of coexistence with those, who consider ordinary people to be the basis of a food chain, rests on your shoulders :)",N/A
78.4,N/A,N/A,Tiago Amorim,Tiago AmorimPedro Ramalho Marques,"Late 80's. Manuel, a young announcer of Rádio Plutão - a small pirate radio station he has in his attic -, considers abandoning the project and deals with his colleague leaving for a job in an official radio station.",N/A
Missing,N/A,56%,Sam Ward,Jack DeVos,,N/A
Encaisse,N/A,N/A,France Timmermans,Lucie BernardMarie LachetFrance Timmermans,,N/A
Road Kill,N/A,68%,Lawren Campbell,Lawren CampbellJennifer McGrath,,N/A
Orla,N/A,N/A,Mateus Moura,Sid QuaresmaCarline Ramos,"The story begins with a murder that takes place on the edge of Icoaraci, Belém district, which puts into check an old relationship between two characters during a dialogue. ""The short film aims to convey to the public, from an ironic point of view, and therefore unprepared, the absurdity of the existence of drives and relationships. It's a movie that has sympathy for ... Leer todo",N/A
Venster,N/A,N/A,Gerhard Mostert,Maatje Burger Smith,,N/A
Take Your Birth Control,N/A,N/A,Jackson Adams,Anna AkanaMaggie Levin,"This is a book excerpt adaptation from Anna Akana's ""So Much I Want To Tell You: Letters To My Little Sister""",N/A
Lilac Wednesday,N/A,N/A,Rose Chang,Rose Chang,A misunderstood teenager attempts to connect with her depressed mother but tragically discovers that it is too late.,N/A
Cascaritas,N/A,N/A,Eduardo Hunter,Eduardo Hunter,"Carlos travels to the place of his childhood and there he remembers those adventurous and dangerous afternoons he used to spend with Mateo, his best friend. A friendship that was put to the test and that one day he lost without much explanation, but he always hopes to find it again.",N/A
Não Esquecerás,N/A,N/A,João Mário Grilo,Dulce Maria CardosoLuís Mário Lopes,,N/A
If Only You Were Mine,N/A,N/A,David Benedek,David BenedekJakub SpevákJán Stiffel,"Dominik is a young graduate experiencing his first relationship. Adam becomes a mentor, idol and first love for him. With great feeling, there are also great uncertainties. He finds out that he doen't belong to his world of young Bratislava, but he still tries to make their relationship work.",N/A
Mnemonics,N/A,N/A,Daniela Repas,Daniela RepasIvana Repas,A refugee stores her memories in boxes that are animated to life when she revisits them in her secret room.,N/A
Je Suis Un Coin À Champignon,N/A,N/A,Thomas Gerard,Thomas Gerard,,N/A
Flicker,N/A,N/A,Xingzhong Zhao,Xingzhong Zhao,,N/A
Susurro bajo la Tierra,N/A,N/A,Lilia Alcalá,Lilia Alcalá,,N/A
Falso autostop,N/A,N/A,Marco David Calce,Marco David CalceFabio Natale,,N/A
Ancien to Mahou no Tablet: Mou Hitotsu no Hirune Hime,N/A,N/A,Kenji Kamiyama,Harumi DokiKenji Kamiyama,"The story centers on the adventure of Ancien, a girl that keeps appearing in Kokone's dreams. The story of the dream is one that Kokone's father told her as a mysterious fairy tale when she was little.",N/A
Inner Flame,N/A,N/A,Vardit Bilu,Tami AssoulineVardit Bilu,"Gali is a deaf dancer who dreams of a career as a fully-fledged dancer in a professional, well-known and well-regarded troupe of hearing dancers. A troupe that has never had a deaf dancer. Filled with excitement, hopes and fears, she arrives at the troupe's tryouts day, and decides to proceed without any accommodations and without barriers. She chooses to conceal her ... Leer todo",N/A
Don't Look,N/A,20%,Jack McLoughlin,N/A,"Andrea lives alone plagued by nightmares, however one night she discovers something is with her in the apartment.",N/A
Nuclear Rainbow,N/A,N/A,Calum Young,Calum Young,Two distant brothers are forced to reconnect with each other after many years when an unexpected tragedy in the family occurs.,N/A
Strings,N/A,80%,Vardit Bilu,Vardit BiluJohnatan Pinto,"It is the 1960s in a development town in Israel. Rachel is a downtrodden widow who works as a seamstress, struggling to earn a living while raising her deaf son. She doesn't have the language with which to talk to him, and most of the communication between them is limited to basic gestures. In the course of her work, she meets a wealthy woman who suggests that Rachel ... Leer todo",N/A
A Date in the Park,N/A,N/A,Edgar P. Davis,Edgar P. Davis,,N/A
Frammenti,N/A,N/A,Davide Fois,Davide Fois,,N/A
Nausea,N/A,86%,Raha Amirfazli,Raha Amirfazli,,N/A
Zar Min HaCholot,N/A,N/A,Tamar Baruch,Tamar Baruch,"An Eritrean refugee emerges from the desert to a small rural community in southern Israel,. He yearns to belong but holds on to the memory of the lover he left behind.",N/A
Modern Lennon,N/A,N/A,Jack McLoughlin,N/A,"A struggling musician who works as an John Lennon impersonator, navigates through his daily walk into the city.",N/A
Glabra,N/A,N/A,Peter RundleAlexandros Klimopoulos,Peter Rundle,"After discovering a map and a photograph in his grandfathers belongings, Steve embarks on a quest to reveal the truth behind his findings.",N/A
Verde,N/A,N/A,Marco Mazzone,Marco Mazzone,,N/A
Boxing Two Step,N/A,N/A,Steven G. Lowe,Steven G. Lowe,,N/A
Garage Heat,N/A,N/A,Dickie Hearts,Joseph Ausanio,,N/A
Au Nom Du Père,N/A,N/A,Hugo Will-Boissonat,Hugo Will-Boissonat,Two men meet after years for one last face to face.,N/A
Parcialmente Nublado,N/A,N/A,Gabriel Souza NunesIvan Santaella,Gabriel Souza NunesIvan Santaella,"With no electricity at home and alone during a storm, Caio has to reevaluate his life decisions in the dark.",N/A
L'esseulé,N/A,N/A,Camille Degeye,Camille Degeye,"A man wakes up in the desert. Walking to find the city, he sees the disappearance of men. When the memory of a beloved woman reappears in her mind, the past begins to touch, slowly.",N/A
Sanctuary,N/A,89%,Ostin Fam,Ostin Fam,,N/A
Dance Revenge,N/A,N/A,Sirvan Marogy,Sirvan Marogy,,N/A
Scrape,N/A,N/A,Lorenzo Trane,Filippo D'AntuonoLorenzo Trane,,N/A
Caffè Cerutti,N/A,N/A,Elmos C. Neocleous,Anna Tenezi,"Holiday season. Two friends, Diana and Katy, meet in Caffe Cerutti after not having seen each other for a while. Diana is spontaneous, enthusiastic and ready to hear her friend's news. However, their meeting is about to have an unexpected twist when the cafe's interior decoration causes strange reactions to Katy.",N/A
Secret,N/A,N/A,David Benedek,David Benedek,,N/A
Mind's Eye,N/A,N/A,Neil Cadieux,Neil Cadieux,,N/A
Suite 212,N/A,N/A,Hugo Pedro,N/A,,N/A
Short Cut,N/A,N/A,Ostin Fam,Ostin Fam,"Mae believes that unlike what her long black locks suggests, beauty is found in short hair. In desperation, she defies all odds to attain her desired crown of beauty.",N/A
The Unknown,N/A,N/A,Steven James,Emily CrawSteven James,A young boy named Isaac is given a chance to bring change to his aimless life.,N/A
Forever,N/A,N/A,Paulina Sjoberg,Paulina Sjoberg,,N/A
La desserte rouge,N/A,N/A,Hugo Martin,Hugo Martin,,N/A
Lost,N/A,N/A,Mitchel Johnson,Mitchel Johnson,,N/A
Love Forever,N/A,N/A,Karan Chawla,VikramRaj Singh ChauhanNarinder Kaur ChawlaSufi Jazbaat,,N/A
Skerm,N/A,N/A,Anja van den BergCobus van den Berg,Anja van den Berg,,N/A
Parallax,N/A,N/A,Aline Magrez,Aline Magrez,"Big machines. Laughters. Or rather screams. A fair and its disturbing weirdness. Refugee in a labyrinth of mirrors, a man sinks into the darkness of his bruised mind. His memories, dreams and fantasies pass. Like a feeling of drowning in a funnel which closes on a frightening empty infinity.",N/A
Colours of Life,N/A,N/A,Karan Chawla,N/A,,N/A
Broken,N/A,N/A,Johnny Hough,Johnny Hough,Four vignettes of a grieving girl on a cloudy day.,N/A
Rêverie,N/A,N/A,Servane Royant,Chloé BalluNina RichardServane Royant,,N/A
Unforgotten,N/A,N/A,Robert Jackson,Beth CunninghamJacob MathesonJason Digbeth,"After committing a murder, a woman tries to bury her guilt like she did her victim's body. Little does she know, a sharp-eyed detective is closing in on her.",N/A
Time Irreversible,N/A,N/A,Stanley Nsamba George,Stanley Nsamba George,,N/A
Goalkeeper,N/A,N/A,Fahad Alestaa,Fahad Alestaa,A Former Goalkeeper Watches a Television Interview that Brings him Back to the Spotlight.,N/A
Abused Child,N/A,N/A,James La Motta,James La Motta,"""I have been sexually and physically abused for as long as I can remember until I was 14 - When I finally had the courage to lock the door at night and sit next to it.""",N/A
Seeking,N/A,N/A,Sahand Mohajer,Sahand Mohajer,"A solitary figure reaches for a presence that remains ungraspable, prompting the figure to face his own confinement and slip out of a long bittersweet solitude dealing with loss.",N/A
Ma'am,N/A,N/A,Marta Morilla,Marta Morilla,"An experimental short film about love, addictions, and loneliness",N/A
Einmal zuviel,N/A,N/A,Wilda Wahnwitz,Nick BrardtRagnar FelgnerAnne Vehres,,N/A
Bedsheet Man,N/A,N/A,David Leo,David LeoAndrew C. Maier,This movie is about the pain that comes from losing a child to suicide and the abnormal way one man deals with his grief - through becoming a superhero. Seeking revenge from the person he thinks drove his son to suicide - our hero is determined to become the hero his son always wanted him to be.,N/A
Day 99,N/A,N/A,Grayson Whitehurst,Grayson Whitehurst,A man reckons with his past following 99 days of an airborne epidemic.,N/A
Ka zhu ren sheng,N/A,N/A,Sheng-Ming Huang,Sheng-Ming Huang,"Yu-Yin is a math teacher in a junior high school, She plays a very important role in both her students and her family's lives. However she receives the trickiest question in life just when she was about to go on a relaxing trip. Jun-Ho, an adolescent boy in 9th grade, is going through the chaos of his parents divorce and the great pressure of going to high school. Wit... Leer todo",N/A
The Small Things,N/A,N/A,Arthur Gonzales,April BurnsArthur Gonzales,At a casual party two people meet and forge a loving relationship with each other. They learn that the small things count. Life carries on.,N/A
El Mal Amor,N/A,N/A,Sergio González-Román,Sergio González-Román,,N/A
El Camino de los Perros,N/A,N/A,Sebastián Cuevas,Paula Armstrong,"Jorge (17) travels from Chiloé to Santiago to look for his unknown father, however, when he arrives he finds a disconcerting surprise that will turn his trip around.",N/A
La Uva - The Grape,N/A,N/A,Arturo Mombiedro,Arturo Mombiedro,,N/A
Stay a Little While,N/A,N/A,Sheng-Ming Huang,Yi HungJiun-Wen RanYu-Shin Yang,"Yi-Jia invited her childhood friend Yang and her new friend Jia-Bao to pose as her photography project models. The three talked about their past, present and future. Suddenly, they realized that ""growing up"" is just around the corner. If the daylight came, we all had to become the grown-ups who don't know each other. Would you stay with me in Neverland, forever?",N/A
Hunter's Mercy,N/A,N/A,Matthew Clay,J. Cody AndersenBrad Bentz,,N/A
Aimée,N/A,N/A,Daan Groot,Ashgan El Hamus,,N/A
Burn Bridge,N/A,N/A,Rhys Marc Jones,Rhys Marc Jones,"Harry and Jamie are inseparable until Lucy arrives on the scene. Now Harry must contend for Jamie's attention, bringing his true feelings closer to light.",N/A
Casse Noisette,N/A,N/A,Justine Lefevre,Justine Lefevre,"There is something missing in Barychnikov, whose life is punctuated by inexplicable deliveries of hazelnuts. On the advice of the deliveryman Dutronc, Barychnikov will seek help in the maze of a genealogical society, where rooms open on the stage of a staged memory.",N/A
Eternal holidays,N/A,N/A,Tilek Cherikov,N/A,,N/A
Cypress Tree,N/A,N/A,Emery McGaha,Emery McGaha,,N/A
Aator (Perfume),N/A,N/A,Aniket Mitra,Aniket Mitra,An emotional conversation between an old seller of perfumes and a father who is forced by his son to sell their ancestral property.,N/A
X,N/A,N/A,Raquel Choy,Raquel Choy,Do you dare to immerse yourself in the mind of a psychopath? What if you like what you see...?,N/A
W.I.F.E,N/A,N/A,Ronald J. Wright,Emma Wise,,N/A
Chasing the GOAT,N/A,N/A,Celeste Holben,George Gardner,,N/A
Death of the Dragonslayer,N/A,N/A,Christian B. Hansen,Anna Louise Yeates Arnesen,,N/A
Doce,N/A,N/A,Celia Fernández PoyatosClaudia Jara Rodríguez,Victoria Rodríguez CruzCelia Fernández PoyatosClaudia Jara Rodríguez,,N/A
Grands sont les déserts,N/A,N/A,Léa Renard,Léa Renard,"Mateo, twenty, lives in a Corsican village. There he meets Eva who pulls him from his dreams and takes him to meet Alvaro. To his first attraction for the girl then mixes a troubled fascination for this boy.",N/A
Talking Trees,N/A,N/A,Joel Brandt,Adriel BrandtJoel Brandt,Two disillusioned revolutionaries mourn the death of their inspiring leader and make a surprising new friend.,N/A
Life in 2 Minutes,N/A,N/A,Elie Fahed,Elie Fahed,"This is how I see life, in 2 minutes.",N/A
Dxgal,N/A,N/A,Hung En Su,Hung En Su,"A Truku elder, Temu, still continues the practice of farming, even after he transferred the farmland to his son. One day, Temu's clan held a ritual to pray for a good harvest, meanwhile his son is having a discussion with Mr. Chen, who had been sent by an enterprise to deal with land acquisition.",N/A
The Flame,N/A,N/A,Jui-Liang HsuTai-Wei Huang,Jui-Liang HsuTai-Wei Huang,"Heavily indebted, Tai is forced to work for commercial debt collectors. He wishes to leave everything behind and start from scratch with his sister who suffers from depression. In private, Tai is actually a masked wrestler. After he accidentally defeats the supposed winner in a fight, his life takes a different turn.",N/A
Muñeca,N/A,N/A,Karina FlomenbaumValeria Perez Delgado,Karina FlomenbaumValeria Perez Delgado,,N/A
Hacia el sur,N/A,N/A,Camila Selser,Gibrán Portela,,N/A
Will,N/A,N/A,Quincy Huanxi Li,Quincy Huanxi Li,,N/A
Jon & Joanne,N/A,N/A,Quincy Huanxi Li,Quincy Huanxi Li,,N/A
Premonicion,N/A,N/A,Leticia Akel,Leticia AkelBrúsi Ólason,"Javier arrives in a small farming community to look for a job, but has to fight against Chivo's prejudices to win his place in the community.",N/A
The Resolve,N/A,N/A,Sam Litovchin,Sam Litovchin,,N/A
Saturno,N/A,N/A,Gabriel Vinícius,Gabriel Vinícius,The return of Saturn brings a reflective monologue about life and a human through the eyes of a man trying to connect this cycle.,N/A
Midnight Tod,N/A,N/A,Yi-Ling Wang,Yi-Ling Wang,"Due to his rebellious personality, Hao gets fired from his work. He takes all his belongings to stay at Tod's place. Unsatisfied with the current situation but remaining hopeful to the future, they try to do something to against the world and get what they deserve, even they have to go separate ways.",N/A
When We Meet Again,N/A,N/A,William Sehested Høeg,William Sehested Høeg,"Mads has been traveling across Europe for three months with his two childhood friends, Simon and Sara. To celebrate his safe return, Mads' family has organised a welcome home lunch - but the meal is interrupted by a call from Sara's father claiming Sara was raped on the last night of the trip. This throws Mads into the biggest dilemma of his life.",N/A
Forged Love,N/A,N/A,Mikey William Cheung,Mikey William Cheung,A teenager goes through grief as he tries to understand his relationship issues.,N/A
Animal,N/A,N/A,Alex Cole,Pedro Takahashi,A teenage girl makes a disturbing discovery whilst walking her dog through the woods.,N/A
Eva,N/A,64%,Wesley MulderMilou Rohde,Samira Id BellaThomas BoerDan van Steen,,N/A
Cuando venga a por mi,N/A,N/A,Fania Vázquez,Beatriz Maciá,,N/A
Cena Familiar,N/A,N/A,Marc Zaragoza,Alfredo BeldaRubén MechóCarlos Rodas,,N/A
Wilderness,N/A,33%,Jeremy Wallace,Jeremy Wallace,"Adapted from Carl Sandburg's poem, Wilderness, this film explores a the trials and tribulations of a relationship and how their emotional states embody the characteristics of animals.",N/A
Leap in the Dark,N/A,N/A,Yusuf Elbasi,N/A,A timid young man's journey in the heart of darkness.,N/A
Domestic Violence,N/A,91%,Camila Fonseca,Scott LipmanAlessio MedasTerezie Vraspírová,,N/A
Disquiet,N/A,0%,Francisco Steward,Tatána JanevováTony MasekCurt Matthew,,N/A
Heart On My Sleeve,N/A,N/A,Kevin J. O'Neill,Vincent DeMarcoIttyKevin J. O'Neill,,N/A
Leo,N/A,N/A,Nicolas Bellaiche,Nicolas Bellaiche,"Leo, a simple minded giant, loses the precarious balance he had found in jail.",N/A
Solo,N/A,8%,Bang-Yao Liu,Bang-Yao Liu,"A mother of two sons, one with piano talent, and one with illness. The talented son's piano recital day is a trip and a task for all of them.",N/A
One Way Street,N/A,N/A,Andrea Meyerson,Andrea Meyerson,,N/A
Memories,N/A,82%,Kailani D'Amour,Kailani D'Amour,A young housewife's desperate search for her son uncovers a deeper issue within.,N/A
IDK,N/A,N/A,Jeremi Malicki,Jeremi Malicki,,N/A
Chicken Club,N/A,N/A,Omid Yaldai Albir,Ithaca DengShincy Lu,,N/A
Supermodel,N/A,0%,Bianca Catbagan,Bianca CatbaganGracie Vergara,A portrait of a second-generation Filipino family living in America and a moment in their life when they begin to disconnect.,N/A
Ex,N/A,N/A,Fangxiang Zheng,Fangxiang Zheng,"Penny runs into Ezra years after he broke up with her. At first, they are friendly with each other but reminiscing about the past soon brings back some painful memories.",N/A
Melissa,N/A,N/A,Aroutin Gheivandian,Aroutin Gheivandian,,N/A
Highland Shuffle,N/A,N/A,Andrew Manning,Andrew Manning,"For the richest members of the inner-city, everything is a commodity to be bought and sold - unless of course, those products bite back.",N/A
From the Outside,N/A,N/A,Vincent DeMarco,BizzleVincent DeMarco,,N/A
Last Regret,N/A,N/A,Sean Thompson,Sean Thompson,,N/A
Violet & Mary,N/A,N/A,Lizzy Dabczynski Bean,Lizzy Dabczynski Bean,Violet visits her dear friend Mary at a country estate to discuss Mary's crisis of faith as it relates to her husband's position as parish priest.,N/A
The Necklace,N/A,N/A,Jordan Michael Guzman,Jordan Michael GuzmanJustin Scott Lawrence,,N/A
Those eyes,N/A,N/A,Geraldine Alluaume,N/A,When the voice of Love opens the eyes of the soul.,N/A
Um Terço de Mim,N/A,N/A,Sihan Felix,Sihan Felix,,N/A
The Glendale Geek,N/A,N/A,Frank Mignano Jr.,Frank Mignano Jr.,,N/A
Tel qu'en lui-même l'éternité le laisse,N/A,N/A,Nicolas Montanari,Nicolas Montanari,"A reclusive brother and a sister take a woman asking for hospitality into their house, and both fall in love with her.",N/A
Darkroom,N/A,39%,Lukás Marval,Lukas Marval,,N/A
Liberté,N/A,N/A,Simão Boucherie Mendes,Simão Boucherie Mendes,"On a normal day, Isabel gets a visit from a stranger named Lisa, who tells her she has some information about her missing son. As Isabel let's Lisa into her house, she finds Lisa strangely comfortable.",N/A
Helena,N/A,N/A,Adriana Tunku,Jesse PamintuanAdriana Tunku,,N/A
Chinmoy,N/A,N/A,Prithviraj Das Gupta,Shubham DubeyPrithviraj Das Gupta,"This short film is inspired from one of the most controversial paintings ever of The Great Leonardo Da Vinci, 'THE LAST SUPPER'. A rapist who is an epitome of evil is chosen by a painter as a model to paint Kans. And the man recalls his childhood that 25 years back he was used as a baby model to portray Krishna in the same painting. He realises that following the path... Leer todo",N/A
Working Wife,N/A,N/A,Ashish Bhatia,Ashish BhatiaJyoti MalhotraShivani Thakur,"Priyanka is an ambitious carrier oriented woman. Her motive is to rise high in her profession. She doesn't want to stuck in relationship and commitment.On other hand Naveen is a man who believes to enjoy each and every moment of life by well balancing between carrier and family. One fine day, Naveen disclose his feelings to Priyanka that he want to marry her. But Priy... Leer todo",N/A
Johnny on the Moon,N/A,N/A,Eva Everett Irving,Eva Everett Irving,"Two lovers in the Canadian wilderness surrender themselves to a world of make-believe, but in time, reality knocks from underneath the door in the floor.",N/A
Limoncello,N/A,N/A,Alessandro Dioguardi,Alessandro Dioguardi,"Quentin Chabon is a successful and controversial writer. His life should have been dedicated to writing but something was always there to make him feel incomplete, universally alone. His life, somewhere and somehow, got lost. Now Quentin is dead and has to face the new reality beyond life.",N/A
#VsyoPoka,N/A,N/A,Vladislav Kovalyov,Lelde KovalovaVladislav Kovalyov,"Five adults discuss over dinner the topic of raising children, the child's relationship with the Internet and slowly sneak up on the topic of death groups.",N/A
Vezhdi ot pera,N/A,N/A,Robert Ihnatisin,Robert Ihnatisin,The deaf pianist Petar finds himself in an unusual deserted city after a wild night involving hallucinogenic mushrooms.,N/A
Time,N/A,N/A,Daniel Yam,Daniel Yam,"Grace is a frustrated young mother with little time on her hands, and her young son's demands are making her impatient. At dawn, he yearns for his mother to carry him; at dusk, a bedtime story. She wished her young son would grow up quickly, just like she did: rushing gleefully into the adulthood once her training wheels came off. She was in such a hurry to grow up, t... Leer todo",N/A
Full Circle,N/A,N/A,Nathan Mathews,Nathan Mathews,A lone traveler attempts to reunite with his wife before the end of the world.,N/A
Mane Oota,N/A,N/A,Keerthan Bhat,Keerthan Bhat,Mane Oota is a short relatable story of every Indian household. The film shows how home food is the best food ever. This film conveys a small message to the children of the house by the end.,N/A
First Date,N/A,N/A,Andrew Paul Davis,Andrew Paul Davis,A girl reluctantly prepares for a date in 1929.,N/A
Los Ausentes,N/A,N/A,José L. Herbert,José L. Herbert,,N/A
Letter from Maggie,N/A,N/A,Ksenia Naughton,Ksenia Naughton,A period piece set in 1940's tells about a young female who's trying to find a way to forgive her brother when he returns home from prison.,N/A
Aldriland,N/A,N/A,Håvard Fandrem,Håvard Fandrem,"Markus is a 15-year-old boy who feels something no one wants to feel. Feelings he knows are wrong, and which he fears can make him into a monster if he loses control.",N/A
Routine,N/A,N/A,Valeria Dakhovich Molchanova,Valeria Dakhovich Molchanova,A young man trapped in a daily routine where every single day is so very similar to the previous one.,N/A
Descenso,N/A,N/A,J. Martín Vega,Carlos VallarinoElisa Varela,,N/A
Ways,N/A,N/A,Dan Iliuta,Dan Iliuta,The tragic love tale of two very different bicycles.,N/A
Awake in Paris,N/A,N/A,Nabil Aouad,Nabil Aouad,,N/A
Bella (An Inner-City Filmmakers Production),N/A,N/A,Julia Marie Tocher,Julia Marie Tocher,,N/A
Super héroes,N/A,N/A,Santiago Requejo,Javier Lorenzo,"Andrés, a Catholic missionary priest in Africa, is going to visit his brother and his family in Spain because there has been a novelty in the family.",N/A
Mestre,N/A,N/A,João Soares,Jade Pereira,,N/A
Emerger,N/A,N/A,Carlos Ignacio Trioni Bellone,Carlos Ignacio Trioni Bellone,,N/A
Sisyphus,N/A,N/A,Rafael A. López,Rafael A. López,"A man lost in a world of appearances, finds himself confronted with the impact of his own image.",N/A
Wasted,N/A,42%,Balli Kamble,Balli Kamble,,N/A
Pseudo,N/A,82%,Julien TurnerJusten Turner,Julien Turner,The actions of a few all too often taint the representation of a whole group in America. We cannot build empathy until we choose to see through the eyes of another. We cannot mend relationships until we distinguish the minority of wrongdoers from the whole. We cannot change until we are able to distinguish the real from the fake-- the pseudo.,N/A
True Colors,N/A,N/A,William Kountz,Anthony ColettaWilliam KountzViolet Lewis,"High school students learn a lesson from the new kid, and no one leaves the classroom the same person they walked in as.",N/A
Alarme Falso,N/A,N/A,Rosa Berardo,Carlos Andrés Morelli,,N/A
Once Upon a Time in Yogyakarta,N/A,N/A,Dwi Saputro,N/A,"Sarjono is an old farmer who has been farming for decades in the region of Yogyakarta. This film shows the process of an old farmer working on his rice field, step by step, from cultivating of his land to harvest. Sarjono is a reflection of a traditional farmer who will be lost in the modern era.",N/A
Crying,N/A,N/A,Qianzi Gao,Qianzi Gao,"When knowing his missing wife was killed in a car accident with her lover, mute Yong decides to get rid of their baby secretly.",N/A
Inimicus,N/A,N/A,Alessandro Gessaga,Laura BertoglioAlessandro GessagaTommaso Zaffaroni,,N/A
Pani Bovary to ja,N/A,N/A,Grzegorz Paprzycki,Gustave FlaubertGrzegorz Paprzycki,,N/A
"Largo do Arouche, 127, 2A",N/A,N/A,Roniel Felipe,Roniel Felipe,,N/A
Jano,N/A,N/A,Mario Varela,Mario Varela,,N/A
Broken Earth,N/A,N/A,Alexandre Rufin,Alexandre Rufin,,N/A
True Colors,N/A,N/A,William Kountz,Anthony ColettaWilliam KountzViolet Lewis,"High school students learn a lesson from the new kid, and no one leaves the classroom the same person they walked in as.",N/A
Time,N/A,N/A,Bailey Ferrous Yeung,Argelia Curiel,,N/A
Lapse,N/A,N/A,Maya Goldberg,Ryan David Mcree,,N/A
The Send-Off,N/A,N/A,Ethan Steiner,Sarah JarmanRasmus Nilselid,A drug dealer who suffers an addiction to his own drug has trouble recalling the previous day of his life as he copes with his mother's death.,N/A
We Met Once,N/A,N/A,Rod Alexander,Rod Alexander,A woman recounts her story of how seemingly meaningless events in her day-to-day life were ultimately the cause of how she met an admirer.,N/A
De Wereld Rond in Zeven Jaar,N/A,N/A,Helga Smit,Fabio van Elswijk,,N/A
Jung,N/A,N/A,Nehemias Colindres,Nehemias ColindresCat Hepburn,Two Turkish teenage brothers navigate and explore their fluctuating relationship against the colorful backdrop of Berlin's inner city.,N/A
Fear,N/A,40%,Vimal Kaushik,Vimal Kaushik,,N/A
Taxi Driver,N/A,89%,Tathagata Singha,Tathagata Singha,"The film highlights the story of one such city connoisseur, a taxi driver from Mumbai who takes us through a sensorial journey of the city. A story that inspires us to experience the city with our eyes closed.",N/A
Rose,N/A,N/A,Steven Mckenna,Steven Mckenna,"A film that follows Christian, and his obsession with his friend Rose, as she photographs models that are made to look dead.",N/A
My Little Princess,N/A,N/A,Andre Cabra,Andre Cabra,"A father loses his daughter and instead of letting go, he creates an imaginary daughter.",N/A
Ecstasy,N/A,54%,Kitty Frobenius,Kitty Frobenius,"A 75 year-old widow, crippled by grief, seeks unconventional solace by traveling across town to buy drugs.",N/A
Sal,N/A,50%,Victor OutónNorberto Trujillo B.,Victor OutónNorberto Trujillo B.,,N/A
In Her Image (Be'Tzalma),N/A,N/A,Yaara Elroy,Yaara Elroy,,N/A
On this day I die,N/A,N/A,Martin Rodolphe Villeneuve,Martin Rodolphe Villeneuve,,N/A
You and Me,N/A,N/A,Miku Kitagawa,Miku Kitagawa,,N/A
Secrets,N/A,N/A,Makayla Albright,Makayla Albright,,N/A
Gåvan,N/A,N/A,Israel Benavides,N/A,,N/A
Aurora,N/A,N/A,Luciano Sazo,Luciano Sazo,,N/A
A Car Called Victory,N/A,N/A,Vladislav Muko,Vladislav MukoIlmar Taska,,N/A
Everlasting,N/A,100%,Roberto Gonzalez Mendieta,Roberto Gonzalez Mendieta,"The story of a young man who starts doing drugs, but soon discovers all the problems involved.",N/A
